u,h,stress,n,hrp,hp,w,fn,ft,area,energy_ratio,E
0,20,100,0.1,30.01729125,11.656494,108.1750853,3.712894193,1.013107785,0.010509325,0.062079925,192
0,20,100,0.2,29.42274958,10.64059645,105.3814456,6.1491189,1.745993964,0.009636044,0.048403497,192
0,20,100,0.3,28.10745553,9.27119628,101.3803828,9.663781071,2.67932504,0.008562901,0.038255567,192
0,20,100,0.4,25.41526214,6.861361421,90.48804673,14.58013983,3.970695003,0.007369792,0.027169965,192
0,20,100,0.5,23.42469622,5.4558584,87.72159488,22.02595679,5.70726428,0.006615974,0.020431872,192
0,20,300,0.1,29.64416211,11.3665474,107.6821215,9.390726566,2.586958067,0.010260664,0.060841459,192
0,20,300,0.2,28.59620344,10.24719726,103.6465459,13.5118137,3.778118555,0.00923492,0.040876992,192
0,20,300,0.3,26.30712352,8.242716278,100.1381204,18.75956383,4.870513344,0.008330231,0.02777137,192
0,20,300,0.4,24.37895338,6.876442432,89.19644902,25.45865917,7.004025571,0.006718287,0.020819476,192
0,20,300,0.5,21.38715029,4.647946358,77.92099684,33.57190005,8.85530866,0.006133636,0.01876784,192
0,20,500,0.1,29.12336237,10.99322445,106.1265889,13.84999434,3.796299855,0.009507319,0.053835268,192
0,20,500,0.2,27.86751503,9.838332472,102.5179594,19.16503881,5.398627392,0.00844177,0.034804782,192
0,20,500,0.3,25.44590773,7.928989851,91.52452418,24.77191003,6.51366291,0.007899516,0.024110713,192
0,20,500,0.4,23.21651149,6.411466102,88.26546806,31.86557388,8.370318445,0.006604298,0.019589566,192
0,20,500,0.5,20.44310669,4.679203629,77.19591912,39.212338,9.570375888,0.006071665,0.019853263,192
0,20,700,0.1,28.51268318,10.7506503,105.1088042,17.67860495,4.869525448,0.009253415,0.048410433,192
0,20,700,0.2,26.74396762,9.137362838,101.583912,23.4271094,6.273558092,0.008450902,0.031094657,192
0,20,700,0.3,24.90129387,7.781852045,90.69551292,29.4792326,8.021826951,0.007716731,0.022234914,192
0,20,700,0.4,22.01215233,5.775154785,87.57657282,36.54489683,9.448310375,0.006375918,0.019797999,192
0,20,700,0.5,19.71996476,4.576176008,76.68569585,43.05776507,10.09709415,0.005975413,0.020707824,192
0,20,900,0.1,27.90969656,10.33682035,104.237647,21.53460414,6.115607039,0.008740851,0.044361039,192
0,20,900,0.2,26.10596021,8.847073317,93.62916276,26.9234375,7.035247342,0.008365749,0.02880863,192
0,20,900,0.3,24.17306549,7.582578659,89.88034055,32.93323415,8.516915894,0.007173853,0.021853166,192
0,20,900,0.4,21.22656858,5.477306098,78.57946679,40.09901594,10.19953807,0.006296172,0.020295247,192
0,20,900,0.5,18.99863283,4.348184268,76.26733556,46.36161334,11.20292263,0.005627969,0.021479575,192
0,20,1100,0.1,27.08864808,9.765735865,102.6831269,24.58171444,6.808897734,0.008174552,0.041410001,192
0,20,1100,0.2,25.50913195,8.650236924,92.79063046,30.43644619,8.345165348,0.008186781,0.027244906,192
0,20,1100,0.3,23.41317866,7.193365627,89.18166988,36.26647517,9.427134387,0.00691682,0.021654009,192
0,20,1100,0.4,20.77898842,5.461385067,78.06806753,42.90753301,10.48979912,0.00637171,0.020946007,192
0,20,1100,0.5,18.21559506,4.035202842,75.92381994,48.50691541,10.83468323,0.005817694,0.021816895,192
0,20,1300,0.1,26.6313436,9.500278866,96.06161188,27.48637123,7.419647996,0.008162587,0.038667661,192
0,20,1300,0.2,25.09201657,8.491523483,92.11551534,33.01170235,8.779151058,0.00793316,0.025846271,192
0,20,1300,0.3,22.61596322,6.723479033,88.57631357,39.07062581,10.04445883,0.006684172,0.021643034,192
0,20,1300,0.4,20.36710296,5.357072353,77.62138229,45.18757197,11.05404924,0.006277079,0.021370012,192
0,20,1300,0.5,17.67496087,3.815525553,75.65152137,50.5357928,11.2287844,0.005749664,0.021968451,192
0,20,1500,0.1,26.32866303,9.441732301,95.37039283,29.68650125,7.790704107,0.008454652,0.03706203,192
0,20,1500,0.2,24.63516356,8.280634767,91.36032136,35.83083216,9.675704861,0.007846733,0.025254401,192
0,20,1500,0.3,21.91508046,6.261843351,88.09543458,41.70109533,10.82104734,0.006502632,0.021990227,192
0,20,1500,0.4,19.90370169,5.242871983,77.25587141,47.09125353,11.22964443,0.006207242,0.021954937,192
0,20,1500,0.5,17.1645932,3.618131939,75.42850234,52.1402064,11.88121131,0.005664859,0.02222831,192
0,20,1700,0.1,25.93915154,9.283074416,94.71840068,31.58310916,8.313332812,0.008277732,0.035364243,192
0,20,1700,0.2,24.15963759,8.076929152,90.69781611,37.78542442,9.900151793,0.007819934,0.025141108,192
0,20,1700,0.3,21.44980133,6.098789573,79.49592099,44.00276019,11.39943886,0.006285764,0.022341899,192
0,20,1700,0.4,19.53463327,5.082082067,76.98206151,48.94788094,11.96774718,0.005968804,0.022616908,192
0,20,1700,0.5,16.66245308,3.434880636,68.20319383,53.4829174,12.28860769,0.005481439,0.022405851,192
0,20,1900,0.1,25.60524146,9.096469084,94.06225714,33.85059751,9.157502524,0.008186371,0.034204951,192
0,20,1900,0.2,23.59282051,7.722039223,90.13821155,39.52628377,10.17843383,0.007340155,0.024850619,192
0,20,1900,0.3,21.12290849,6.08425819,79.1205013,45.66521339,11.35174739,0.00632462,0.022759483,192
0,20,1900,0.4,18.92492347,4.874939552,76.65104706,50.21290092,11.66681519,0.005839332,0.023014294,192
0,20,1900,0.5,16.37925276,3.441426754,65.89664196,54.61203944,11.81523787,0.005591837,0.022973703,192
